study_id,n_formulations,Experiment_value_mean,Experiment_value_std,Experiment_value_min,Experiment_value_max,assay_type,n_assay_types,n_unique_ILs,n_unique_HLs
39060305.0,2400,-0.0531323986175,0.9673348314500284,-2.506920669,4.963127253,in_vitro_single_formulation,1,1200,2
37985700.0,1902,0.013967295979495274,0.9802765772076342,-3.156676774,2.661572817,in_vitro_single_formulation,2,234,3
26729861.0,1538,2.2366717407530293e-10,1.0003252561622034,-1.089650118,3.601853898,in_vitro_single_formulation,2,1512,1
24969323.0,1273,7.855454612707269e-12,1.0003930045363847,-1.494120124,4.544497192,in_vitro_single_formulation,2,1183,1
31570898.0,1128,4.964539417859998e-11,1.00044355734922,-2.325658245,4.472089488,in_vitro_single_formulation,1,1080,1
35879315.0,1080,5.370371472626748e-11,0.9999999999484583,-1.260098905,4.329460088,in_vitro_single_formulation,1,1,6
38082180.0,1079,0.0760333818647769,0.9939076875925875,-2.983069526,8.776106451,in_vitro_single_formulation,1,1,6
38424061.0,851,-0.007728180007050531,0.9936660109811823,-3.335152247,4.095499043,mixed,3,176,1
36997680.0,773,-5.17466305538965e-12,1.0006474588055942,-2.16105763,3.131377134,in_vitro_single_formulation,2,722,2
39497197.0,623,-0.07291715561797753,0.9935317332106313,-2.841856168,3.597211104,in_vitro_single_formulation,1,623,1
38740955.0,611,8.019636527869464e-11,1.0008193364159075,-2.621690952,4.620220094,in_vitro_single_formulation,2,560,1
33542471.0,572,1.5384611688713849e-10,1.0008752736743818,-1.159794723,2.95220475,in_vitro_single_formulation,1,572,1
40060499.0,500,0.24978517601599998,1.0663219384397247,-0.894834808,1.85005724,in_vitro_single_formulation,1,500,1
18438401.0,497,-4.0040221172189624e-10,1.0010075570470296,-0.366886147,5.468071128,in_vitro_single_formulation,1,497,1
37127709.0,407,-1.8181815103449788e-10,1.0012307697735545,-1.89565327,6.038629821,in_vivo_liver,1,384,2
38437545.0,350,0.04715699145428572,1.0037714874662436,-2.004950512,2.489687795,in_vitro_single_formulation,1,260,1
37661193.0,325,-3.076934262935538e-12,1.0015420209524826,-1.785699718,1.938338415,mixed,2,174,1
38060560.0,288,1.388886536643794e-11,1.0017406453681892,-2.398145978,1.975769688,in_vitro_single_formulation,1,288,1
39099464.0,286,0.24023746698601398,1.0887784264378848,-2.528950507,3.578887195,in_vitro_single_formulation,1,286,1
39742515.0,270,0.0046598319925926345,1.0094778638558606,-1.888979288,2.692144758,in_vitro_single_formulation,1,270,1
37480759.0,260,-3.461534648662424e-11,1.0019286421401665,-1.138733096,3.237135076,in_vivo_other,1,260,1
39354147.0,252,0.032134315257936516,0.9933568900788956,-1.556093774,2.489687795,in_vitro_single_formulation,1,252,1
37990414.0,248,-3.629032773213867e-10,1.0020222468804434,-0.329564277,4.687760163,in_vitro_single_formulation,1,248,1
39424104.0,180,-0.04162631664999998,0.9266725090969449,-2.160431632,5.204579094,in_vitro_single_formulation,1,180,1
39578640.0,151,-0.03024212181456949,1.0537557564969677,-1.218467446,5.204579094,mixed,2,151,1
36269150.0,144,-1.5277776574704502e-10,1.003490412091172,-0.412001814,7.223938424,in_vitro_single_formulation,1,144,1
40796944.0,141,-0.19401130638297873,0.9368464206272206,-0.894834808,1.85005724,in_vivo_other,1,141,1
38969646.0,140,-0.021261925235714296,1.0412831104618738,-2.886865162,3.689869287,in_vitro_single_formulation,1,140,1
37853662.0,131,-2.2137401665818185e-10,1.003838785685686,-2.778175684,1.105676091,mixed,2,101,1
37591187.0,119,-5.0420157311641904e-11,1.0042283486243524,-0.792186525,2.948694289,in_vitro_single_formulation,1,119,1
22902058.0,112,-7.142851984490558e-11,1.0044944046785556,-0.56689558,3.816657437,in_vitro_single_formulation,1,112,1
39875076.0,96,-0.32298229799999995,0.8370006129074059,-0.894834808,1.85005724,in_vitro_single_formulation,1,1,1
33305471.0,91,-1.978022330788172e-10,1.005540208663628,-1.411564121,2.131948569,in_vitro_single_formulation,1,91,1
40234552.0,91,-0.5516659652318056,0.5063173047769858,-1.15847423433398,0.477611216,in_vivo_other,1,91,1
27981708.0,72,1.6666665270115288e-10,1.0070176297997477,-0.786765209,2.450211652,in_vitro_single_formulation,1,72,1
38409275.0,60,0.08754172333333336,1.0666761390231638,-0.277960946,5.204579094,mixed,2,30,1
20080679.0,50,4.000002870596653e-11,1.0000000000402531,-1.659490466,1.231897253,in_vitro_single_formulation,1,50,1
39502027.0,36,0.020129207999999968,0.9842320515912227,-0.894834808,1.85005724,in_vivo_other,1,18,2
32080183.0,30,6.666668698566506e-11,0.9826073689231328,-1.625558894,1.961949189,in_vitro_single_formulation,1,1,1
29786478.0,24,0.03199088449999999,1.1527218927103784,-0.970002081,3.565285689,in_vivo_other,1,2,2
29653760.0,10,0.0,1.0000000000430185,-1.019385933,1.656343159,in_vivo_other,1,10,1
40131321.0,8,0.30605546299999997,0.8795594071775003,-0.894834808,1.85005724,in_vivo_other,1,1,1
