feature,rf_importance,et_importance,xgb_importance,mean_importance
IL_to_nucleicacid_massratio,0.07577850205939218,0.05530969609510646,0.00056334026,0.0438838461386924
PEG_molratio,0.04066058512435306,0.035876228982710104,0.0008329505,0.025789921542929778
HL_molratio,0.03517838337942772,0.03106841471241204,0.0007965136,0.02234777055519066
CHL_molratio,0.027463911438428575,0.018554372225082806,0.00053378113,0.015517354931436514
IL_molratio,0.02499556033106008,0.019079294052986973,0.00039330745,0.014822720610571119
Model_type__HeLa,0.013970100990152988,0.01978148523026732,0.0010237645,0.011591783569879633
IL_fp_1866,0.01140198007984149,0.013318905223380972,0.009010746,0.011243877148993586
HL_name__DOTAP,0.013586298366516907,0.012642956598700865,0.0008881205,0.009039125154885771
HL_name__DOPE,0.01315690390512991,0.012450417966765373,0.0006603493,0.008755890398591737
IL_fp_950,0.0068111903956543434,0.009210778960471516,0.0074666454,0.00782953826726684
IL_fp_784,0.008998015338782759,0.013989682558501774,0.00046224205,0.007816646650058297
IL_fp_1172,0.008150454295813632,0.011200431659878912,0.0025945613,0.007315149090588495
IL_fp_1111,0.010299918161751295,0.009608245912658768,0.00071465404,0.006874272706374629
HL_name__DSPC,0.007525171452010158,0.011788798646043305,0.0010035004,0.00677249017381587
IL_fp_305,0.007274386520680259,0.00882621063582819,0.003312242,0.006470946380346578
IL_fp_1208,0.0002905762741551144,0.00010979099906053095,0.018638248,0.006346204965751765
IL_fp_1568,0.005051128824406679,0.008034370181999815,0.003608756,0.005564751668860855
IL_fp_1719,0.0049415054837228314,0.005005534912521319,0.0059304056,0.005292481990675404
HL_name__DDAB,0.007284320529569045,0.00750612271893435,0.00095464283,0.005248362027393195
Dose_ug_nucleicacid,0.012413457655143876,0.0026235773627860926,0.0006206731,0.005219236045828708
Model_target__lung_epithelium,0.001948202882121536,0.007951614347633085,0.0036901177,0.004529978322344321
IL_fp_760,0.0062444686950913686,0.0060492582103628505,0.0012778891,0.004523872010167778
IL_fp_1710,0.0032784833937004897,0.0061549899268326,0.0037446425,0.004392705267867861
IL_fp_937,0.005476871296405044,0.006105981841917508,0.0009947419,0.004192531684993016
Model_type__HepG2,0.005856932758777759,0.005102665803751119,0.0014131556,0.004124251380822788
IL_fp_258,0.0016744872671024189,6.541176942437306e-06,0.010219811,0.003966946635303586
Cargo__mRNA,0.00484876121685409,0.0053380828950213,0.0014798103,0.0038888848161600354
IL_fp_1987,0.0030773332935732237,0.004509956484548494,0.0040100045,0.003865764745069347
Cargo__pDNA,0.004662868488074447,0.004998756210427251,0.0016841629,0.0037819291935527895
IL_fp_473,0.003646263057166147,0.007242718794109106,0.0003787522,0.0037559113455908955
HL_name__14PA,0.004612224477707098,0.0055870458553418,0.0007341546,0.0036444749778996566
IL_fp_1444,0.0036884219559470957,0.005438275928830685,0.0015668806,0.0035645261667352907
IL_fp_1640,0.0003451569842507166,0.004335821434238119,0.0056860493,0.003455675922698291
IL_fp_1603,0.005087942631095213,0.004667630818225646,0.0005270717,0.003427548385889502
Model_target__liver,0.003946307962677472,0.005726523083644479,0.0004876551,0.003386828718837835
IL_fp_753,0.0029474861730004274,0.0061514097423733755,0.0007437575,0.003280884480432799
IL_fp_2041,0.001863215586915625,0.0018462214585438608,0.005465144,0.0030581936237727724
IL_fp_470,0.0026018151570036253,0.006069713944468066,0.00048569916,0.0030524094198778567
IL_fp_1805,0.0034827877464363288,0.004254154250964578,0.0013133731,0.0030167716982064927
IL_fp_146,0.0028987195601977104,0.00543427170748006,0.00057995704,0.002970982767682647
IL_fp_1352,0.002040869879442725,0.002865343892983694,0.0038785222,0.0029282453236912265
Model_type__RAW264.7,0.003909616049184755,0.003572069183653964,0.0011430673,0.00287491749770384
HL_name__18PG,0.0040354814576540185,0.003815061462286824,0.00074294984,0.0028644975854542
IL_fp_1067,0.0011931551641815369,0.0025652738526249262,0.0048110294,0.0028564861441280377
IL_fp_222,0.003223563208674335,0.004876595536744049,0.00045074284,0.0028503005279523277
IL_fp_677,0.0024615412709957122,0.005371802986927324,0.0006742696,0.0028358712952342526
IL_fp_1593,0.002757582174580001,0.0043530643685976535,0.0013805212,0.0028303892550651196
IL_fp_946,0.002289154716588166,0.005190486485299142,0.00091824005,0.002799293751822173
IL_fp_2045,0.0031262425310340917,0.003766087543908367,0.0013827563,0.0027583621182413064
IL_fp_1142,0.0022163720111897716,0.0029217850163064433,0.0029744331,0.0027041967178080863
IL_fp_1847,0.002603171821934726,0.004265249700452497,0.0010531065,0.002640509342603669
IL_fp_1163,0.004335415755465347,0.0030299670903942448,0.00052538485,0.002630255898731322
IL_fp_1863,0.003272107466501931,0.0038297626096118215,0.0006275429,0.0025764709934087467
IL_fp_1164,0.0016164500122153708,0.004472241083897001,0.0014166038,0.0025017649659614567
IL_fp_1757,0.0035980170475381633,0.002180017994517766,0.001671848,0.0024832943486028194
IL_fp_1318,0.002740836152640087,0.004010610816198567,0.00065884815,0.0024700983723812075
IL_fp_389,0.0012537277798050622,0.004328883739045692,0.0016818845,0.00242149867891465
PEG_name__DMPE-PEG2000,0.0028567488889450717,0.0037832504860344485,0.00060268666,0.002414228678758371
IL_fp_1152,0.0011517326124124748,0.005232102391080772,0.00055464136,0.0023128254543263106
IL_fp_1088,0.0012506708083294613,7.633286316495409e-05,0.00545789,0.0022616312971602847
IL_fp_1385,0.003235719250141945,0.0027629688631349595,0.00070701976,0.002235235958005321
IL_fp_932,0.0025051059162194676,0.0035362911478109137,0.0006159,0.0022190990129921048
Model_type__DC2.4,0.0033256067406365283,0.002477374357314986,0.00081634446,0.0022064418520318907
PEG_name__DMG-PEG2000,0.0031693321107620635,0.0029549313403147482,0.00048954855,0.0022046039994234067
IL_fp_935,0.0016122484317446565,0.004364395579403451,0.0005644958,0.0021803799370703736
IL_fp_31,0.002949396193321579,0.0032542296604239776,0.00029893024,0.002167518699499565
IL_fp_1404,0.0025659050806030597,0.0032901162945961505,0.00064549386,0.0021671717436330356
IL_fp_755,0.00245176804733646,0.0016302215303253202,0.0024174596,0.0021664830653206598
Model_target__spleen,0.003151237498768578,0.0029287635483225033,0.00040433172,0.0021614442545999733
IL_fp_587,0.003055263004518257,0.0019796487626715853,0.0013786488,0.0021378535217237613
IL_fp_13,0.005074290183450401,0.0009356425936668417,0.0002881555,0.002099362763023393
IL_fp_231,0.0023514995488746852,0.003161589774592912,0.0007453157,0.002086135003422394
IL_fp_1921,0.0010049876012148613,0.0009366241939744494,0.004225312,0.002055641198675609
IL_fp_739,0.0026748427970957342,0.0024707815229114104,0.00087798113,0.002007868484123061
IL_fp_1349,0.0027405010616576788,0.00023342918614727056,0.002978795,0.0019842417410037352
IL_fp_650,0.0015644503365562711,0.002950736774307456,0.0014199071,0.0019783647324641885
IL_fp_1928,0.000904596482407846,0.0004132299288608489,0.004546674,0.0019548334599010096
IL_fp_1917,0.0016693187596001464,0.0025104850272122336,0.0016253152,0.0019350396522053927
IL_fp_1959,0.0022356610879425416,0.0030956629654582688,0.00047291763,0.0019347472274470017
IL_fp_1159,0.0010948129297382472,0.002577249353306956,0.0021171295,0.0019297305971503755
IL_fp_1581,0.0030991915175305404,0.0018411120436206579,0.0008440676,0.0019281237213450743
IL_fp_407,0.002985818899159233,0.0018031461100801113,0.0009606283,0.0019165311122290886
IL_fp_1091,0.003327727280113153,0.0011303728309696988,0.0011699761,0.0018760253969731132
IL_fp_1236,0.002984586848150698,0.0018948640417961796,0.0007453248,0.0018749252384497423
IL_fp_283,0.0024541802775549354,0.0027666515549831247,0.00032534584,0.0018487258914133779
IL_fp_1399,0.0012251837467842695,0.0039835521971725105,0.00033041832,0.0018463847543884425
IL_fp_1880,0.001683561880730303,0.0014991142824198982,0.0023451985,0.0018426248985722099
PEG_name__C8-Ceramide-PEG2000,0.0019985763646235212,0.0022656617844187205,0.0012526286,0.001838955593023139
IL_fp_1010,0.00019852972376671607,1.6882272940518564e-05,0.0052985908,0.0018380009166449024
IL_fp_67,0.002345309447806042,0.0026694549337031893,0.00036363013,0.0017927981692465501
IL_fp_197,0.0016526476568612931,0.003323112848914141,0.00039168602,0.001789148840279777
IL_fp_592,0.0023219946945409763,0.002316395746312948,0.00070906524,0.0017824852256683808
IL_fp_1393,0.00027906284764023047,6.137193312982819e-05,0.005003835,0.0017814232851245386
IL_fp_652,0.00238396969152824,0.002499116188182471,0.000383654,0.001755579959284273
IL_fp_1873,0.0020658660908059877,0.002690435186136805,0.000493555,0.0017499520858122914
IL_fp_1136,0.0014812894537509197,0.00026104739841278587,0.003505179,0.0017491719374013058
IL_fp_794,0.0012400197527590434,0.0026710845256582064,0.0013216264,0.001744243546625581
IL_fp_1480,0.0011665944795969509,0.0015761476358908835,0.0024675736,0.0017367719119556018
IL_fp_1196,0.0020949803277928863,0.0007190559737227004,0.0023489164,0.00172098422459996
Model_target__in_vitro,0.0014364612670381505,0.0019466143163925247,0.0016470007,0.0016766920833794765
IL_fp_139,0.0020848002056032063,0.002631589118788136,0.0002850572,0.0016671488432884489
IL_fp_1523,0.0017685752023583615,0.0023529980150148577,0.00086602784,0.0016625336857735704
IL_fp_1849,0.0004546708559978999,0.00026976239751089887,0.004194504,0.001639645789746441
IL_fp_1106,0.0001417349646582641,4.303923375912619e-05,0.0047275447,0.0016374396423613116
IL_fp_1028,0.0021455846810081703,0.0021084859929233787,0.0006564402,0.0016368369625732833
IL_fp_636,0.0028458497959647708,0.0015163714642468756,0.0005036537,0.0016219583262786369
IL_fp_642,0.0019991343932414664,0.0023913236732132455,0.00044869707,0.0016130517128142823
IL_fp_1204,0.0014087058479206125,0.0023457416614430463,0.0010618421,0.0016054298625688976
IL_fp_1782,0.000490031491866714,7.835661627272516e-07,0.00426179,0.0015842016338231655
Dialysis_buffer__PBS,0.0019987883768427584,0.0021640202531418695,0.00057533954,0.0015793827226766183
IL_fp_1145,0.0017313240346101266,0.0024014145698995227,0.0005623234,0.0015650206594173502
IL_fp_1569,0.0012278037441402609,0.0021443889790239566,0.001307927,0.001560039892932361
IL_fp_43,0.00014376688151250145,0.0003762519636296455,0.0041460223,0.0015553470338686376
IL_fp_1713,0.0027658285128035116,0.0008535173359002003,0.0010420547,0.0015538001939883926
IL_fp_74,0.0017709949430160972,0.0025395012888632033,0.00034660983,0.0015523686865696086
IL_fp_1981,0.0017880032556224351,0.002232667519747945,0.00062274287,0.0015478045476444333
IL_fp_1114,0.0012518641496047894,0.0013644859625602207,0.0019932631,0.0015365377508285958
IL_fp_667,0.0018085735166136789,0.0022464458850008574,0.0005131565,0.001522725309445517
IL_fp_526,0.0014882723825266487,0.0006755775985922846,0.0023693987,0.0015110828993187004
IL_fp_693,0.0020347036189759787,0.0020996406774335293,0.0003868964,0.0015070802313650467
Model_type__A549,0.0011259295775657308,0.002964517299763334,0.00040396914,0.0014981386728393578
IL_fp_1120,0.0015041755991698849,0.0025302568925319757,0.00045397328,0.0014961352560032223
